cae_name_1,cae_name_2,win_name_1,win_name_2,value_1,value_2,country_1,country_2,cpv,label,cae_levenshtein,cae_jaccard,cae_jaro_winkler,win_levenshtein,win_jaccard,win_jaro_winkler,cpv_match,country_match,value_diff,value_ratio
Zamojski Szpital Niepubliczny Sp. z o.o. ,GWQ ServicePlus AG,Urtica Sp. z o. o.,"BG ALIUD / STADAPHARM GbR, c/o ALIUD PHARMA GmbH",504657.85,1.0,PL,DE,33600000,,0.14634146341463417,0.0,0.42502258355916894,0.125,0.0,0.41203703703703703,1,0,0.9999980184594374,1.981540562581163e-06
Samodzielny Publiczny Szpital WojewÃ³dzki im. PapieÅ¼a Jana PawÅa II w ZamoÅciu,Szpital Specjalistyczny im. Stefana Å»eromskiego SPZOZ w Krakowie,Nobipharm Sp. z o.o.,Urtica Sp. z o.o.,1218920.07,870318.66,PL,PL,33600000,,0.2098765432098766,0.1875,0.6188384420062908,0.65,0.6,0.7935574229691876,1,1,0.28599201750776,0.7140079824922401
Uniwersytecki Szpital Kliniczny w Poznaniu,Spital Orasenesc Urlati,Amgen SP z o. o.,ALLIANCE HEALTHCARE ROMANIA---MEDIPLUS EXIM---Pharma,9177971.17,565913.21,PL,RO,33600000,,0.26190476190476186,0.0,0.6191384257745814,0.07692307692307687,0.0,0.4423076923076923,1,0,0.9383400536439036,0.06165994635609647
Szpital Kliniczny im. Karola Jonschera Uniwersytetu Medycznego im. Karola Marcinkowskiego w Poznaniu,SPITALUL JUDETEAN RESITA,Komtur Polska sp. z o.o.    ,Pharma,17817836.82,3761103.89,PL,RO,33600000,,0.050000000000000044,0.0,0.3527777777777778,0.0714285714285714,0.0,0.4365079365079365,1,0,0.7889135517405642,0.2110864482594358
VieÅ¡oji Ä¯staiga Lietuvos sveikatos mokslÅ³ universiteto Kauno ligoninÄ,"Instytut ""Pomnik-Centrum Zdrowia Dziecka""","UAB ,,Entafarma""",CENTRALA FARMACEUTYCZNA CEFARM S.A. ,186848.09,744458.95,LT,PL,33600000,,0.15068493150684936,0.0,0.499155436759847,0.08333333333333337,0.0,0.3703703703703704,1,0,0.7490149188212459,0.25098508117875407
Amgros I/S,AOK - Rheinland-Pfalz/Saarland - Die Gesundheitskasse,STADA Nordic ApS,Orifarm GmbH ,22447443.41,0.01,DK,DE,33600000,,0.05660377358490565,0.0,0.3981132075471698,0.0625,0.0,0.36164529914529914,1,0,0.9999999995545149,4.4548502995869677e-10
SPITALUL CLINIC DR. C. I. PARHON,Pomorskie Centrum Reumatologiczne im. dr Jadwigi Titz-Kosko w Sopocie sp. z o.o.,PHARMA VISION PLUS,Neuca SA,583878.17,3825092.63,RO,PL,33600000,,0.09999999999999998,0.0,0.4275462962962963,0.11111111111111116,0.0,0.40277777777777773,1,0,0.8473558090016764,0.15264419099832363
Centrale de NÃ©gociation pour les Achats Hospitaliers,AOK - Rheinland-Pfalz/Saarland - Die Gesundheitskasse,B. Braun Medical SA,Puren Pharma GmbH & Co. KG ,2984490.0,0.01,BE,DE,33600000,,0.09433962264150941,0.0,0.5662473794549266,0.14814814814814814,0.0,0.49122807017543857,1,0,0.9999999966493438,3.3506562260218664e-09
IKK classic,BARMER Justiziariat-Vergabestelle,ratiopharm GmbH,neuraxpharm Arzneimittel GmbH,1.0,0.01,DE,DE,33600000,,0.09090909090909094,0.0,0.4116161616161616,0.3448275862068966,0.25,0.6367816091954023,1,1,0.99,0.01
WojewÃ³dzki Szpital Zespolony im. L. Rydygiera w Toruniu,SPITALUL ORASENESC BALS,CSL Behring Sp. z o.o. ,B.BRAUN MEDICAL,2702469.92,770288.75,PL,RO,33600000,,0.0714285714285714,0.0,0.3022256728778468,0.08695652173913049,0.0,0.24009661835748794,1,0,0.7149686128606383,0.28503138713936177
SZPITAL UNIWERSYTECKI W KRAKOWIE,Hospital Universitario de la Princesa,"Roche Polska Sp. z o.o., ul. Domaniewska 28, 02-672 Warszawa","GILEAD SCIENCES, S.L.",5328429.61,1738960.72,PL,ES,33600000,,0.10810810810810811,0.0,0.41103603603603606,0.08333333333333337,0.0,0.38809523809523805,1,0,0.673644798321733,0.32635520167826704
