cae_name_1,cae_name_2,win_name_1,win_name_2,value_1,value_2,country_1,country_2,cpv,label,cae_levenshtein,cae_jaccard,cae_jaro_winkler,win_levenshtein,win_jaccard,win_jaro_winkler,cpv_match,country_match,value_diff,value_ratio,sbert_similarity
Zamojski Szpital Niepubliczny Sp. z o.o. ,GWQ ServicePlus AG,Urtica Sp. z o. o.,"BG ALIUD / STADAPHARM GbR, c/o ALIUD PHARMA GmbH",504657.85,1.0,PL,DE,33600000,,0.1463414634146341,0.0,0.4250225835591689,0.125,0.0,0.412037037037037,1,0,0.9999980184594374,1.981540562581163e-06,0.10865338
Samodzielny Publiczny Szpital WojewÃ³dzki im. PapieÅ¼a Jana PawÅa II w ZamoÅciu,Szpital Specjalistyczny im. Stefana Å»eromskiego SPZOZ w Krakowie,Nobipharm Sp. z o.o.,Urtica Sp. z o.o.,1218920.07,870318.66,PL,PL,33600000,,0.2098765432098766,0.1875,0.6188384420062908,0.65,0.6,0.7935574229691876,1,1,0.28599201750776,0.7140079824922401,0.68260384
Uniwersytecki Szpital Kliniczny w Poznaniu,Spital Orasenesc Urlati,Amgen SP z o. o.,ALLIANCE HEALTHCARE ROMANIA---MEDIPLUS EXIM---Pharma,9177971.17,565913.21,PL,RO,33600000,,0.2619047619047618,0.0,0.6191384257745814,0.0769230769230768,0.0,0.4423076923076923,1,0,0.9383400536439036,0.0616599463560964,0.2427716
Szpital Kliniczny im. Karola Jonschera Uniwersytetu Medycznego im. Karola Marcinkowskiego w Poznaniu,SPITALUL JUDETEAN RESITA,Komtur Polska sp. z o.o.    ,Pharma,17817836.82,3761103.89,PL,RO,33600000,,0.05,0.0,0.3527777777777778,0.0714285714285714,0.0,0.4365079365079365,1,0,0.7889135517405642,0.2110864482594358,0.26720536
VieÅ¡oji Ä¯staiga Lietuvos sveikatos mokslÅ³ universiteto Kauno ligoninÄ,"Instytut ""Pomnik-Centrum Zdrowia Dziecka""","UAB ,,Entafarma""",CENTRALA FARMACEUTYCZNA CEFARM S.A. ,186848.09,744458.95,LT,PL,33600000,,0.1506849315068493,0.0,0.499155436759847,0.0833333333333333,0.0,0.3703703703703704,1,0,0.7490149188212459,0.250985081178754,0.42975622
Amgros I/S,AOK - Rheinland-Pfalz/Saarland - Die Gesundheitskasse,STADA Nordic ApS,Orifarm GmbH ,22447443.41,0.01,DK,DE,33600000,,0.0566037735849056,0.0,0.3981132075471698,0.0625,0.0,0.3616452991452991,1,0,0.9999999995545148,4.4548502995869677e-10,0.24855019
SPITALUL CLINIC DR. C. I. PARHON,Pomorskie Centrum Reumatologiczne im. dr Jadwigi Titz-Kosko w Sopocie sp. z o.o.,PHARMA VISION PLUS,Neuca SA,583878.17,3825092.63,RO,PL,33600000,,0.0999999999999999,0.0,0.4275462962962963,0.1111111111111111,0.0,0.4027777777777777,1,0,0.8473558090016764,0.1526441909983236,0.3500233
Centrale de NÃ©gociation pour les Achats Hospitaliers,AOK - Rheinland-Pfalz/Saarland - Die Gesundheitskasse,B. Braun Medical SA,Puren Pharma GmbH & Co. KG ,2984490.0,0.01,BE,DE,33600000,,0.0943396226415094,0.0,0.5662473794549266,0.1481481481481481,0.0,0.4912280701754385,1,0,0.9999999966493438,3.350656226021866e-09,0.2665281
IKK classic,BARMER Justiziariat-Vergabestelle,ratiopharm GmbH,neuraxpharm Arzneimittel GmbH,1.0,0.01,DE,DE,33600000,,0.0909090909090909,0.0,0.4116161616161616,0.3448275862068966,0.25,0.6367816091954023,1,1,0.99,0.01,0.47553396
WojewÃ³dzki Szpital Zespolony im. L. Rydygiera w Toruniu,SPITALUL ORASENESC BALS,CSL Behring Sp. z o.o. ,B.BRAUN MEDICAL,2702469.92,770288.75,PL,RO,33600000,,0.0714285714285714,0.0,0.3022256728778468,0.0869565217391304,0.0,0.2400966183574879,1,0,0.7149686128606383,0.2850313871393617,0.15140533
