CAE_NAME,WIN_NAME,VALUE_EURO,CPV,ISO_COUNTRY_CODE
"Spitalul Clinic de Urgenta ""Prof. Dr. Nicolae Oblu"" Iasi",RARE_SUPPLIER,696559.8155047402,4540,FR
SPITALUL  CLINIC JUDETEAN DE URGENTA BRAILA,RARE_SUPPLIER,1284532.5209643764,3121,FR
AGENTIA NATIONALA DE CADASTRU SI PUBLICITATE IMOBILIARA---CENTRUL NATIONAL DE CARTOGRAFIE---OFICIUL CADASTRU PUBLICITATE IMOBILIARA Vrancea---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA  BRAILA---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA - BUCURESTI---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA -TULCEA---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA ALBA---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA ARAD---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA BACAU---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA BOTOSANI---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA CALARASI---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA CARAS-SEVERIN---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA DAMBOVITA---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA GIURGIU---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA HARGHITA---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA HUNEDOARA---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA IALOMITA---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA IASI---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA ILFOV---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA MURES---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA PRAHOVA---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA SALAJ---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA SIBIU---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA SUCEAVA---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA TELEORMAN---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA TIMIS---OFICIUL DE CADASTRU SI PUBLICITATE IMOBILIARA VASLUI---Oficiul de Cadastru si Publicitate Imobilara Brasov---Oficiul de Cadastru si Publicitate Imobiliara  Olt---Oficiul de Cadastru si Publicitate Imobiliara Arges---Oficiul de Cadastru si Publicitate Imobiliara Bihor---Oficiul de Cadastru si Publicitate Imobiliara Bistrita-Nasaud---Oficiul de Cadastru si Publicitate Imobiliara Buzau---Oficiul de Cadastru si Publicitate Imobiliara Cluj---Oficiul de Cadastru si Publicitate Imobiliara Constanta---Oficiul de Cadastru si Publicitate Imobiliara Covasna---Oficiul de Cadastru si Publicitate Imobiliara Dolj---Oficiul de Cadastru si Publicitate Imobiliara Galati---Oficiul de Cadastru si Publicitate Imobiliara Gorj---Oficiul de Cadastru si Publicitate Imobiliara Maramures---Oficiul de Cadastru si Publicitate Imobiliara Mehedinti---Oficiul de Cadastru si Publicitate Imobiliara Neamt---Oficiul de Cadastru si Publicitate Imobiliara Valcea,RARE_SUPPLIER,953342.8582968996,3318,PL
"SecretarÃ­a General de la ConsejerÃ­a de EducaciÃ³n, Cultura y Deportes de la Junta de Comunidades de Castilla-La Mancha",RARE_SUPPLIER,690410.5639000837,8058,PL
"Institutul de Pneumoftiziologie ""Marius Nasta""",RARE_SUPPLIER,1184971.5850407835,3893,SI
SPITALUL JUDETEAN DE URGENTA BACAU,RARE_SUPPLIER,0.01,3310,DE
RARE_AUTHORITY,RARE_SUPPLIER,1090524.8064940735,4523,IS
RARE_AUTHORITY,RARE_SUPPLIER,0.01,7124,LV
"AB ""Lietuvos geleÅ¾inkeliai""",RARE_SUPPLIER,656113.0150216059,1841,SE
Sihtasutus Raplamaa Haigla---sihtasutus Hiiumaa Haigla---sihtasutus LÃ¤Ã¤nemaa Haigla---sihtasutus PÃµhja-Eesti Regionaalhaigla,RARE_SUPPLIER,402574.0318770952,7995,PL
FakultnÃ­ nemocnice v Motole,RARE_SUPPLIER,815929.9105947354,9837,PL
RARE_AUTHORITY,RARE_SUPPLIER,1316148.9268806905,9091,IT
"ÐÐÐÐÐ¦ÐÐ¯ ""ÐÐªÐ¢ÐÐ ÐÐÐ¤Ð ÐÐ¡Ð¢Ð Ð£ÐÐ¢Ð£Ð Ð""",RARE_SUPPLIER,1036771.4829100184,3365,PL
RARE_AUTHORITY,RARE_SUPPLIER,825077.4163560073,3312,BE
"ÄEZ Distribuce, a. s.",RARE_SUPPLIER,1180803.8165890316,7710,LV
Trafikverket Myndighet,STEDYAN COM S.R.L.,647567.9738820733,5011,PL
OPHEA Office Public de l'Habitat de l'EuromÃ©tropole de Strasbourg,Salus International SpÃ³Åka z ograniczonÄ odpowiedzialnoÅciÄ,101360.96785635862,7971,RO
centre Hospitalier de Valence,RARE_SUPPLIER,1010707.1258393363,3314,BG
RARE_AUTHORITY,RARE_SUPPLIER,0.01,2245,PL
RARE_AUTHORITY,RARE_SUPPLIER,515313.91172225215,6651,MK
