pair_id,type,perturbations,cpv_varied,cae_levenshtein,cae_jaccard,cae_jaro_winkler,win_levenshtein,win_jaccard,win_jaro_winkler,value_ratio,cpv_match,country_match,label
non_1892,real_non_duplicate,none,0,0.1454545454545455,0.0,0.1454545454545455,0.3278688524590164,0.0,0.3278688524590164,0.25,0,0,0
non_746,real_non_duplicate,none,0,0.4107142857142857,0.0,0.4107142857142857,0.09999999999999998,0.0,0.09999999999999998,6.478042480670493e-06,0,0,0
non_1161,real_non_duplicate,none,0,0.24561403508771928,0.0,0.24561403508771928,0.326530612244898,0.0,0.326530612244898,0.3156768496993988,0,0,0
non_690,real_non_duplicate,none,0,0.3620689655172413,0.0,0.3620689655172413,0.2808510638297872,0.03571428571428571,0.2808510638297872,0.9302923693034304,0,1,0
dup_742,synthetic_duplicate,case,0,1.0,1.0,1.0,0.9626556016597511,0.625,0.9626556016597511,0.9308535768410616,1,1,1
non_352,real_non_duplicate,none,0,0.28865979381443296,0.0,0.28865979381443296,0.25,0.0,0.25,0.6680163091078066,0,0,0
dup_843,synthetic_duplicate,word_drop,0,1.0,1.0,1.0,0.7719298245614035,0.2,0.7719298245614035,0.8784867505142987,1,1,1
dup_734,synthetic_duplicate,"abbreviation,word_drop,word_order",0,1.0,1.0,1.0,0.6808510638297872,0.1111111111111111,0.6808510638297872,0.9576491452370508,1,1,1
dup_878,synthetic_duplicate,"abbreviation,word_order,word_drop",0,1.0,1.0,1.0,0.5517241379310345,0.6666666666666666,0.5517241379310345,0.9544924874130098,1,1,1
dup_1955,synthetic_duplicate,word_drop,0,1.0,1.0,1.0,0.30000000000000004,0.0,0.30000000000000004,0.8699402346939079,1,1,1
non_1341,real_non_duplicate,none,0,0.4183006535947712,0.047619047619047616,0.4183006535947712,0.3076923076923077,0.0,0.3076923076923077,0.3183583820160938,0,0,0
non_1772,real_non_duplicate,none,0,0.30107526881720426,0.0,0.30107526881720426,0.22784810126582278,0.0,0.22784810126582278,0.29568560036310026,1,1,0
dup_298,synthetic_duplicate,"encoding,word_drop,abbreviation",0,1.0,1.0,1.0,0.8636363636363636,0.75,0.8636363636363636,0.9644437158572958,1,1,1
non_691,real_non_duplicate,none,0,0.3661971830985915,0.25,0.3661971830985915,0.15573770491803274,0.0,0.15573770491803274,0.27891411671126337,0,1,0
dup_311,synthetic_duplicate,"word_drop,encoding,word_order",0,1.0,1.0,1.0,0.9655172413793104,1.0,0.9655172413793104,0.8735369144026798,1,1,1
non_685,real_non_duplicate,none,0,0.29333333333333333,0.0,0.29333333333333333,0.32352941176470584,0.0,0.32352941176470584,0.9024954483546073,0,0,0
