CAE_NAME,WIN_NAME,VALUE_EURO,CPV,ISO_COUNTRY_CODE
Stadt Wien - Wiener Wohnen,RARE_SUPPLIER,117191370.59,4531,AT
RARE_AUTHORITY,RARE_SUPPLIER,2170000.0,7934,AT
RARE_AUTHORITY,RARE_SUPPLIER,2170000.0,7934,AT
RARE_AUTHORITY,RARE_SUPPLIER,501694.0,4542,AT
RARE_AUTHORITY,RARE_SUPPLIER,760876.11,4531,AT
RARE_AUTHORITY,RARE_SUPPLIER,23067000.0,1561,AT
RARE_AUTHORITY,RARE_SUPPLIER,187006.3,1964,AT
Landeskrankenanstalten-Betriebsgesellschaft - KABEG,RARE_SUPPLIER,1021192.41,3330,AT
RARE_AUTHORITY,RARE_SUPPLIER,3532721.56,4500,AT
SteiermÃ¤rkische Krankenanstaltengesellschaft m.b.H.,RARE_SUPPLIER,1167587.6,4521,AT
RARE_AUTHORITY,RARE_SUPPLIER,377533.325,4533,AT
Autobahnen- und SchnellstraÃen-Finanzierungs-Aktiengesellschaft,RARE_SUPPLIER,2998745.0,7100,AT
RARE_AUTHORITY,RARE_SUPPLIER,500000.0,3910,AT
Umweltbundesamt GmbH,RARE_SUPPLIER,32175.0,7100,AT
Stadt Wien - Wiener Wohnen,RARE_SUPPLIER,59280.0,7124,AT
RARE_AUTHORITY,RARE_SUPPLIER,92155029.23,6011,AT
RARE_AUTHORITY,RARE_SUPPLIER,2849808.77,7221,AT
RARE_AUTHORITY,RARE_SUPPLIER,684174.74,4500,AT
RARE_AUTHORITY,RARE_SUPPLIER,3753879.44,4521,AT
RARE_AUTHORITY,RARE_SUPPLIER,5399202.21,4533,AT
RARE_AUTHORITY,RARE_SUPPLIER,131717.4,8040,AT
RARE_AUTHORITY,RARE_SUPPLIER,52071825.0,3410,AT
Allgemeine Unfallversicherungsanstalt (AUVA),RARE_SUPPLIER,4449072.0,3311,AT
RARE_AUTHORITY,RARE_SUPPLIER,52277680.0,9131,AT
RARE_AUTHORITY,RARE_SUPPLIER,235192293.22,4500,AT
NÃ Landesgesundheitsagentur,RARE_SUPPLIER,50131016.8,3318,AT
RARE_AUTHORITY,RARE_SUPPLIER,721640.0,7200,AT
RARE_AUTHORITY,RARE_SUPPLIER,585000.0,7980,AT
Magistrat der Stadt Wien - Magistratsabteilung 48,RARE_SUPPLIER,246049.2,3411,AT
RARE_AUTHORITY,RARE_SUPPLIER,312500.0,7100,AT
"Auftraggeber sind die Republik Ãsterreich (Bund), die Bundesbeschaffung GmbH sowie alle weiteren Auftraggeber gemÃ¤Ã der den Ausschreibungsunterlagen beiliegenden Kundenliste, im Vergabeverfahren alle vertreten durch die Bundesbeschaffung GmbH.",RARE_SUPPLIER,5420000.0,3310,AT
Landeskrankenanstalten-Betriebsgesellschaft - KABEG,RARE_SUPPLIER,549341.42,1511,AT
RARE_AUTHORITY,RARE_SUPPLIER,77546658.32,7100,AT
RARE_AUTHORITY,RARE_SUPPLIER,915366.09,7200,AT
RARE_AUTHORITY,RARE_SUPPLIER,17500000.0,3000,AT
RARE_AUTHORITY,RARE_SUPPLIER,336568.6,3316,AT
Landeskrankenanstalten-Betriebsgesellschaft - KABEG,RARE_SUPPLIER,502899.35,1581,AT
ÃBB Holding mit allen verbunden Unternehmen,RARE_SUPPLIER,92305811.0,9134,AT
RARE_AUTHORITY,RARE_SUPPLIER,237744.0,3922,AT
RARE_AUTHORITY,RARE_SUPPLIER,2424938.76,6651,AT
Stadt Wien - Wiener Wohnen,RARE_SUPPLIER,1987850.2,4542,AT
Autobahnen- und SchnellstraÃen-Finanzierungs-Aktiengesellschaft,RARE_SUPPLIER,344900.0,7226,AT
Wiener Gesundheitsverbund â Serviceeinheit Einkauf (EKF),RARE_SUPPLIER,30700000.0,8500,AT
Ãsterreichische Gesundheitskasse - ÃGK,RARE_SUPPLIER,84000.0,7941,AT
IT-Services der Sozialversicherung GmbH,RARE_SUPPLIER,3500000.0,7200,AT
Ãsterreichische Gesundheitskasse,RARE_SUPPLIER,1523069.37,7971,AT
RARE_AUTHORITY,RARE_SUPPLIER,730255.65,4521,AT
Magistratsabteilung 54,RARE_SUPPLIER,701710.22,3376,AT
RARE_AUTHORITY,RARE_SUPPLIER,121770.0,7200,AT
RARE_AUTHORITY,RARE_SUPPLIER,466945.66,7132,AT
Monopolverwaltung GmbH - Monopolstelle fÃ¼r Steiermark und KÃ¤rnten,RARE_SUPPLIER,17814000.0,5590,AT
RARE_AUTHORITY,RARE_SUPPLIER,9781.03,6421,AT
RARE_AUTHORITY,RARE_SUPPLIER,800410.0,7131,AT
SteiermÃ¤rkische Krankenanstaltengesellschaft m.b.H.,RARE_SUPPLIER,675035.0,4526,AT
RARE_AUTHORITY,RARE_SUPPLIER,50826.0,8052,AT
Arbeitsmarktservice NiederÃ¶sterreich,RARE_SUPPLIER,1274066.0,8040,AT
